Dept,Number,Instructor,Section,Days,Start,End,Recitations,Labs
AAMW,512,Marie-Claude Boileau,401,W,10:15 AM,01:15 PM,,
AAMW,552,NA,401,F,08:30 AM,11:30 AM,,
AAMW,572,Jason Herrmann,401,W,01:45 PM,04:45 PM,,
AAMW,618,David P Silverman,401,M,01:45 PM,03:15 PM,,
AAMW,625,NA,401,NA,NA,NA,,
AAMW,698,Sheila H Murnaghan,401,R,01:45 PM,04:45 PM,,
AAMW,701,David Young Kim,401,R,08:30 AM,11:30 AM,,
ACCT,101,Antonio Marra,001,MW,12:00 PM,01:30 PM,,
ACCT,101,Antonio Marra,002,MW,01:45 PM,03:15 PM,,
ACCT,101,Antonio Marra,003,MW,03:30 PM,05:00 PM,,
ACCT,102,Christopher D Ittner,001,MW,08:30 AM,10:00 AM,,
ACCT,102,Christopher D Ittner,002,MW,10:15 AM,11:45 AM,,
ACCT,102,Christopher D Ittner,003,MW,12:00 PM,01:30 PM,,
ACCT,102,Carolyn V Deller,004,MW,12:00 PM,01:30 PM,,
ACCT,102,Carolyn V Deller,005,MW,01:45 PM,03:15 PM,,
ACCT,242,Paul E Fischer,001,TR,10:15 AM,11:45 AM,,
ACCT,270,Daniel J Taylor,001,MW,10:15 AM,11:45 AM,,
ACCT,270,Daniel J Taylor,002,MW,12:00 PM,01:30 PM,,
ACCT,613,NA,001,MW,10:15 AM,11:45 AM,,
ACCT,613,NA,002,MW,12:00 PM,01:30 PM,,
ACCT,706,Christopher D Ittner,001,TR,10:15 AM,11:45 AM,,
ACCT,742,Paul E Fischer,001,TR,01:45 PM,03:15 PM,,
ACCT,747,Brian J Bushee,001,TR,08:30 AM,10:00 AM,,
ACCT,747,Brian J Bushee,002,TR,10:15 AM,11:45 AM,,
ACFD,601,Michael R. Rickels,001,NA,NA,NA,,
AFRC,001,Grace Louise B Sanders Johnson,001,MW,10:15 AM,11:45 AM,,
AFRC,002,Benjamin J Shestakofsky,401,MW,10:15 AM,11:15 AM,AFRC-002-402 AFRC-002-403 AFRC-002-404 AFRC-002-405 AFRC-002-406 AFRC-002-407,
AFRC,002,Andres Villatoro,402,R,08:30 AM,09:30 AM,,
AFRC,002,Andres Villatoro,403,R,10:15 AM,11:15 AM,,
AFRC,002,Niiaja Wright,404,R,12:00 PM,01:00 PM,,
AFRC,002,Niiaja Wright,405,R,01:45 PM,02:45 PM,,
AFRC,002,Carlos Alberto Aguilar Gonzalez,406,F,08:30 AM,09:30 AM,,
AFRC,002,NA,407,F,10:15 AM,11:15 AM,,
AFRC,006,Tukufu Zuberi,401,W,01:45 PM,04:45 PM,,
AFRC,008,Camille Charles,401,T,01:45 PM,04:45 PM,,
AFRC,012,Marie Gottschalk,401,T,01:45 PM,04:45 PM,,
AFRC,050,James Sykes,401,TR,12:00 PM,01:30 PM,,
AFRC,050,Juan Carlos Castrillon Vallejo,402,TR,01:45 PM,03:15 PM,,
AFRC,050,Juliet Pascal Glazer,403,TR,10:15 AM,11:45 AM,,
AFRC,056,Carol Ann Muller,401,F,01:45 PM,04:45 PM,,
AFRC,062,Josef W Wegner,401,TR,03:30 PM,05:00 PM,,
AFRC,075,Cheikh Ante MBAcke Babou,401,MW,10:15 AM,11:15 AM,AFRC-075-402 AFRC-075-403 AFRC-075-404,
AFRC,075,Ana Paula Nadalini Mendes,402,F,10:15 AM,11:15 AM,,
AFRC,075,Ana Paula Nadalini Mendes,403,F,12:00 PM,01:00 PM,,
AFRC,075,Ana Paula Nadalini Mendes,404,R,05:15 PM,06:15 PM,,
AFRC,077,Siel Agugliaro,401,TR,12:00 PM,01:30 PM,,
AFRC,078,Ira Harkavy,401,W,01:45 PM,04:45 PM,,
AFRC,081,Dagmawi Woubshet,401,MW,10:15 AM,11:45 AM,,
AFRC,082,NA,401,TR,01:45 PM,03:15 PM,,
AFRC,101,Herman Beavers,401,TR,10:15 AM,11:45 AM,,
AFRC,109,Anthea Butler,401,TR,12:00 PM,01:30 PM,,
AFRC,120,Camille Charles,401,MW,10:15 AM,11:15 AM,AFRC-120-402 AFRC-120-403 AFRC-120-404 AFRC-120-405 AFRC-120-406,
AFRC,120,Richard James Patti,402,R,10:15 AM,11:15 AM,,
AFRC,120,Richard James Patti,403,R,12:00 PM,01:00 PM,,
AFRC,120,Allison Nicole Dunatchik,404,F,08:30 AM,09:30 AM,,
AFRC,120,Xiuqi Yang,405,F,10:15 AM,11:15 AM,,
AFRC,120,Xiuqi Yang,406,F,01:45 PM,02:45 PM,,
AFRC,122,Adewale Adebanwi,401,MW,10:15 AM,11:45 AM,,
AFRC,124,Lorene E Cary,401,W,05:15 PM,08:15 PM,,
AFRC,168,Sarah L. H. Gronningsater,401,TR,01:45 PM,03:15 PM,,
AFRC,169,Karen Tani,401,MW,10:15 AM,11:45 AM,,
AFRC,177,Kim Gallon,401,MW,01:45 PM,03:15 PM,,
AFRC,187,Brian Peterson,301,M,12:00 PM,03:00 PM,,
AFRC,197,Roquinaldo Ferreira,401,MW,05:15 PM,06:45 PM,,
AFRC,218,Jose F. Anderson,401,M,03:30 PM,06:30 PM,,
AFRC,222,Pamela Blakely,401,T,05:15 PM,08:15 PM,,
